Unique ID,Name
editionType1,anthology
editionType2,edition
editionType3,expansion - commentary added
editionType4,expansion - new introduction
editionType5,expansion - glossary added
editionType6,rewrite
editionType7,first printing of manuscript
editionType8,other additions
