Id,Title,Name in Hebrew,Name in German,Pseudonym,Gender,Date of birth,Place of birth,Date of death,Place of death,Occupation,VIAF ID
person1303,"יעקב בר""ק כ""ץ","יעקב בר""ק כ""ץ","יעקב בר""ק כ""ץ",,,,,,,,
person1304,"יעקב בר""ש","יעקב בר""ש","יעקב בר""ש",,,,,,,,
person1305,"יעקב ברא""פ","יעקב ברא""פ","יעקב ברא""פ",,,,,,,,
person1306,יעקב גלוגא,יעקב גלוגא,יעקב גלוגא,,,,,,,,
person1307,יעקב האן,יעקב האן,יעקב האן,,,,,,,,2596495
person1308,יעקב האנק,יעקב האנק,יעקב האנק,,,,,,,,
person1309,יעקב הארן,יעקב הארן,יעקב הארן,,,,,,,,
person1310,יעקב הירש קאסט,יעקב הירש קאסט,יעקב הירש קאסט,,,,,,,,
person1311,יעקב וואלף מקאזיבע,יעקב וואלף מקאזיבע,יעקב וואלף מקאזיבע,,,,,,,,
person1312,יעקב וועליש,יעקב וועליש,יעקב וועליש,,,,,,,,
person1313,יעקב חי חפץ,יעקב חי חפץ,יעקב חי חפץ,,,,,,,,
person1314,יעקב חיים בן יהושע הכהן,,,,,,,,,Author,29106770
person1315,יעקב לוי,יעקב לוי,יעקב לוי,,,,,,,,313003472
person1316,"יעקב ליב פורכהיים, גב""צר","יעקב ליב פורכהיים, גב""צר","יעקב ליב פורכהיים, גב""צר",,,,,,,,
person1317,יעקב ליב פרענקל,יעקב ליב פרענקל,יעקב ליב פרענקל,,,,,,,,179132158
person1318,יעקב לעווי,יעקב לעווי,יעקב לעווי,,,,,,,,313003472
person1319,יעקב לעווענשטיין,יעקב לעווענשטיין,יעקב לעווענשטיין,,,,,,,,
person1320,יעקב משה בן שאול,"יעקב משה בן שאול (אב""ד ור""מ דק""ק אשכנזים באמסטרדם)",יעקב משה בן שאול,,,,,,,,298565425
person1321,יעקב משה שאול,"יעקב משה שאול (אב""ד ווילעהן, אמסטרדם)",יעקב משה שאול,,,,,,,,298917759
person1322,"יעקב ס""גל נאטנזאהן","יעקב ס""גל נאטנזאהן","יעקב ס""גל נאטנזאהן",,,,,,,,
person1323,יעקב סופר,יעקב סופר,יעקב סופר,,,,,,,,310914997
person1324,יעקב עמדן,"עמדן (רב), יעקב",יעקב עמדן,,,,,,,,182335437
person1325,יעקב פפארצהיים,יעקב פפארצהיים,יעקב פפארצהיים,,,,,,,,
person1326,יעקב צבי,יעקב צבי,יעקב צבי,,,,,,,,311794309
person1327,יעקב צבי,יעקב צבי,יעקב צבי,,,,,,,,311794309
person1328,יעקב צבי,יעקב צבי,יעקב צבי,,,,,,,,311794309
person1329,יעקב קוסיל,יעקב קוסיל,יעקב קוסיל,,,,,,,,
person1330,יעקב קראניק,יעקב קראניק,יעקב קראניק,,,,,,,,
person1331,יעקב שאף,יעקב שאף,יעקב שאף,,,,,,,,
person1332,יעקב ששפורטס,יעקב ששפורטס,,,,,,,,,
person1333,יעקבקא הלוי לנדא,יעקבקא הלוי לנדא,יעקבקא הלוי לנדא,,,,,,,,
person1334,"יעקוב א בן הגאון יחזקאל אב""ד דק""ק פראג","יעקוב א בן הגאון יחזקאל אב""ד דק""ק פראג","יעקוב א בן הגאון יחזקאל אב""ד דק""ק פראג",,,,,,,,
person1335,יעקעל בעכער,יעקעל בעכער,יעקעל בעכער,,,,,,,,
person1336,"יפה, בונם בן פו""מ דניאל","יפה, בונם בן פו""מ דניאל","יפה, בונם בן פו""מ דניאל",,,,,,,,
person1337,"יפה, משה בן פו""מ דניאל","יפה, משה בן פו""מ דניאל","יפה, משה בן פו""מ דניאל",,,,,,,,
person1338,יצחק אברהם הכהן,"יצחק אברהם הכהן (אב""ד ור""מ דק""ק פינטשוב)",יצחק אברהם הכהן,,,,,,,,311119586
person1339,יצחק אייז' היילפרן,"יצחק אייז' היילפרן (חו""בק סקאב??ל כתיב לא ברור)",יצחק אייז' היילפרן,,,,,,,,
person1340,יצחק אייזק בן כה' מרדכי,"יצחק אייזק בן כה' מרדכי (דרוקר [מזאלקווא, ולע""ע פה ק""ק ברלין])",יצחק אייזק בן כה' מרדכי,,,,,,,,
person1341,"יצחק אייזק ברמ""ס","יצחק אייזק ברמ""ס","יצחק אייזק ברמ""ס",,,,,,,,
person1342,יצחק איצק פרידלנד,יצחק איצק פרידלנד,יצחק איצק פרידלנד,,,,,,,,
person1343,"יצחק בהרב ה""ה מוהר""ר מרדכי הלוי זצ""ל מלבוב","יצחק בהרב ה""ה מוהר""ר מרדכי הלוי זצ""ל מלבוב (אב""ד ור""מ דק""ק לעשנאב)","יצחק בהרב ה""ה מוהר""ר מרדכי הלוי זצ""ל מלבוב",,,,,,,,
person1344,יצחק בלאך,יצחק בלאך,יצחק בלאך,,,,,,,,97186337
person1345,"יצחק במו' משה כ""ץ","יצחק במו' משה כ""ץ (חו""בק סטאבנץ)","יצחק במו' משה כ""ץ",,,,,,,,
person1346,"יצחק במו' משה כ""ץ","יצחק במו' משה כ""ץ (חו""בק סטאבנץ)","יצחק במו' משה כ""ץ",,,,,,,,
person1347,"יצחק בר""א","יצחק בר""א","יצחק בר""א",,,,,,,,297746716
person1348,יצחק הלוי מלבוב,"יצחק הלוי מלבוב (אב""ד ור""מ דק""ק קראקא)",יצחק הלוי מלבוב,,,,,,,,
person1349,יצחק הלוי מלבוב,יצחק הלוי מלבוב (רב),יצחק הלוי מלבוב,,,,,,,,
person1350,יצחק זאבי,יצחק זאבי (שליח חברון),יצחק זאבי,,,,,,,,308261479
person1351,יצחק חיים ן' דנא די בריטו,"יצחק חיים ן' דנא די בריטו (אב""ד ור""מ דק""ק ספרדים אמסטרדם)",יצחק חיים ן' דנא די בריטו,,,,,,,,308271251
person1352,"יצחק חר""מ איגר","יצחק חר""מ איגר","יצחק חר""מ איגר",,,,,,,,
person1353,יצחק מרפורגו,יצחק מרפורגו,יצחק מרפורגו,,,,,,,,
person1354,ירוחם איש באהר,ירוחם איש באהר,ירוחם איש באהר,,,,,,,,
person1355,ירוחם בן ישכר בער מלבוב,,,,,,,,,Mevi La'Dfus (Producer),
person1356,ירוחם בן ישכר בער מלבוב,ירוחם בן ישכר בער מלבוב,ירוחם בן ישכר בער מלבוב,,,,,,,,
person1357,"ירמי' בר""י","ירמי' בר""י","ירמי' בר""י",,,,,,,,
person1358,"ירמי' בר""י","ירמי' בר""י","ירמי' בר""י",,,,,,,,
person1359,ירמי' דוסענזי,ירמי' דוסענזי,ירמי' דוסענזי,,,,,,,,
person1360,ירמי' מהלברשטט,ירמי' מהלברשטט,ירמי' מהלברשטט,,,,,,,,
person1361,ירמי' מהלברשטט,ירמי' מהלברשטט,ירמי' מהלברשטט,,,,,,,,
person1362,ירמי' רופא,ירמי' רופא,ירמי' רופא,,,,,,,,
person1363,יש' בער מגזע צבי,"יש' בער מגזע צבי (חו""בק זלאטשוב)",יש' בער מגזע צבי,,,,,,,,
person1364,ישעי' בראנדיס,ישעי' בראנדיס,ישעי' בראנדיס,,,,,,,,
person1365,ישעי' לוי,ישעי' לוי,ישעי' לוי,,,,,,,,
person1366,ישעי' ליב,ישעי' ליב,ישעי' ליב,,,,,,,,298428074
person1367,ישעי' פאלאק,ישעי' פאלאק,ישעי' פאלאק,,,,,,,,
person1368,ישראל,ישראל,ישראל,,,,,,,,313410500
person1369,ישראל אולמן,ישראל אולמן,ישראל אולמן,,,,,,,,308275399
person1370,ישראל בן חיים,ישראל בן חיים,ישראל בן חיים,,,,,,,,311112309
person1371,"ישראל בן משה, מברסלאו","ישראל בן משה, מברסלאו","ישראל בן משה, מברסלאו",,,,,,,,
person1372,ישראל בער,ישראל בער,ישראל בער,,,,,,,,297954535
person1373,ישראל בערינשטיין,ישראל בערינשטיין,ישראל בערינשטיין,,,,,,,,
person1374,"ישראל בר""י בה""ש","ישראל בר""י בה""ש","ישראל בר""י בה""ש",,,,,,,,
person1375,"ישראל בר""י בה""ש","ישראל בר""י בה""ש","ישראל בר""י בה""ש",,,,,,,,
person1376,ישראל חיים דייטש,ישראל חיים דייטש,ישראל חיים דייטש,,,,,,,,310737911
person1377,ישראל ליב שולהאף,ישראל ליב שולהאף,ישראל ליב שולהאף,,,,,,,,
person1378,ישראל פראנק,ישראל פראנק,ישראל פראנק,,,,,,,,167519387
person1379,יששכר בער וויזל,יששכר בער וויזל,יששכר בער וויזל,,,,,,,,2605610
person1380,יששכר בער מגזע צבי,יששכר בער מגזע צבי,יששכר בער מגזע צבי,,,,,,,,
person1381,"יששכר מפ""ד","יששכר מפ""ד","יששכר מפ""ד",,,,,,,,
person1382,"כהן ק""ב, הירש","כהן ק""ב, הירש","כהן ק""ב, הירש",,,,,,,,
person1383,"כהן, בער אשקלוא","כהן, בער אשקלוא","כהן, בער אשקלוא",,,,,,,,
person1384,"כהן, הירש","כהן, הירש","כהן, הירש",,,,,,,,308281962
person1385,"כהן, זלמן","כהן, זלמן","כהן, זלמן",,,,,,,,298520134
person1386,"כהן, ירחמיאל פלק בן נתן",,,,,,,,,Author,299173510
person1387,"כהן, ליב","כהן, ליב","כהן, ליב",,,,,,,,308280626
person1388,כץ,"כץ (פו""מ)",כץ,,,,,,,,313299812
person1389,"כץ, הירץ","כץ, הירץ","כץ, הירץ",,,,,,,,298462710
person1390,"כץ, ליב","כץ, ליב בר""מ (פו""מ)","כץ, ליב",,,,,,,,308275079
person1391,ל' לעסינג (Dr. med.),ל' לעסינג,ל' לעסינג (Dr. med.),,,,,,,,
person1392,לאזער ביעדערמאן,לאזער ביעדערמאן,לאזער ביעדערמאן,,,,,,,,
person1393,"לאמניך, איזק","לאמניך, איזק","לאמניך, איזק",,,,,,,,
person1394,"לאמניץ, סענדר","לאמניץ, סענדר","לאמניץ, סענדר",,,,,,,,
person1395,"לאמניץ, סענדר","לאמניץ, סענדר","לאמניץ, סענדר",,,,,,,,
person1396,לאצאר ברייטלענפעלד,לאצאר ברייטלענפעלד,לאצאר ברייטלענפעלד,,,,,,,,
person1397,לאצאר טרייפוס,לאצאר טרייפוס,לאצאר טרייפוס,,,,,,,,
person1398,לביאה האלברשטאט,לביאה האלברשטאט,לביאה האלברשטאט,,,,,,,,
person1399,לואיס עפפינגער,לואיס עפפינגער,לואיס עפפינגער,,,,,,,,
person1400,"לוונשטאם, שאול בן אריה ליב",,,,,,,,,,22029037
person1401,"לוי, יהודה","לוי, יהודה","לוי, יהודה",,,,,,,,312399610
person1402,"לוי, יעקב","לוי, יעקב","לוי, יעקב",,,,,,,,313003472
person1403,"לוי, יעקב","לוי, יעקב","לוי, יעקב",,,,,,,,313003472
person1404,"לוי, שמואל","לוי, שמואל","לוי, שמואל",,,,,,,,308267788
person1405,"לוין, צבי הירש",,,,,,,,,Author,308279810
person1406,ליאון ר' ראמאניני,ליאון ר' ראמאניני,,,,,,,,,
person1407,"ליב במהר""ז סג""ל","ליב במהר""ז סג""ל",,,,,,,,,
person1408,ליב בן מהו' זאב וואלוף,ליב בן מהו' זאב וואלוף (זעציר),ליב בן מהו' זאב וואלוף,,,,,,,,
person1409,"ליב בן פ""ומ ר' זכרי' קליף","ליב בן פ""ומ ר' זכרי' קליף","ליב בן פ""ומ ר' זכרי' קליף",,,,,,,,
person1410,"ליב בר""מ","ליב בר""מ (פו""מ)","ליב בר""מ",,,,,,,,
person1411,"ליב בר""מ","ליב בר""מ (פו""מ)","ליב בר""מ",,,,,,,,
person1412,"ליב בר""ם אפפענהיימער","ליב בר""ם אפפענהיימער","ליב בר""ם אפפענהיימער",,,,,,,,
person1413,"ליב בר""נ","ליב בר""נ","ליב בר""נ",,,,,,,,
person1414,"ליב בר""פ כ""ץ","ליב בר""פ כ""ץ","ליב בר""פ כ""ץ",,,,,,,,
person1415,"ליב בר""פ כ""ץ","ליב בר""פ כ""ץ","ליב בר""פ כ""ץ",,,,,,,,
person1416,"ליב בר""פ כ""ץ","ליב בר""פ כ""ץ","ליב בר""פ כ""ץ",,,,,,,,
person1417,ליב דאהם,ליב דאהם (סינדיקוס),ליב דאהם,,,,,,,,
person1418,ליב דרעזדען,ליב דרעזדען,ליב דרעזדען,,,,,,,,
person1419,"ליב דרעזן מה""ש","ליב דרעזן מה""ש","ליב דרעזן מה""ש",,,,,,,,
person1420,ליב הארצפעלד,ליב הארצפעלד (ק' ק' העבר' צענזאר לייטנער),ליב הארצפעלד,,,,,,,,
person1421,ליב הומבורג,ליב הומבורג,ליב הומבורג,,,,,,,,
person1422,"ליב הנובר סג""ל","ליב הנובר סג""ל","ליב הנובר סג""ל",,,,,,,,
