Uniqe ID,Title,Mentioned in book,Mentionee,Description of mentionee,Location city of mentionee
mentionee1,"Alexander, Levy",Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London,"Alexander, Levy",Book's seller,
mentionee2,"Hoym, Karl Heinrich Graf von (Graf, Minister)",Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift,"Hoym, Karl Heinrich Graf von (Graf, Minister)",Dedication,
mentionee3,"Gregoire, Henri",Appel à la justice des nations et des rois,"Gregoire, Henri",Personal Address,
mentionee4,"Marcus, Benedikt",Bne-Zion,"Marcus, Benedikt",Approbation,Nikolsburg
mentionee5,Stanislaus II. Poniatowski (König von Polen),Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen,Stanislaus II. Poniatowski (König von Polen),Dedication,
mentionee6,Hufnagel,Die Moseide in achtzehn Gesängen,Hufnagel,Thanks,
mentionee7,Spalding,Die Moseide in achtzehn Gesängen,Spalding,Thanks,
mentionee8,"Ramler, Karl Wilhelm",Die Psalmen,"Ramler, Karl Wilhelm",Personal address,Berlin
mentionee9,Joseph II. (Kaiser),"Einige jüdische Familienscenen, bey Erblickung des Patents über die Freyheiten, welche die Juden in den kaiserlichen Staaten erhalten haben",Joseph II. (Kaiser),Dedication,Vienna
mentionee10,"Friedländer, Rebekka Meyer",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Rebekka Meyer",Dedication,Königsberg
mentionee11,"Abrahamsen, Moses Levin",Gebete der hochdeutschen und polnischen Juden,"Abrahamsen, Moses Levin",Subscriber,Copenhagen
mentionee12,Adolphi (Pastor),Gebete der hochdeutschen und polnischen Juden,Adolphi (Pastor),Subscriber,Kurland
mentionee13,"Alexander, Abraham",Gebete der hochdeutschen und polnischen Juden,"Alexander, Abraham",Subscriber,Königsberg
mentionee14,Isaac Aron,Gebete der hochdeutschen und polnischen Juden,Isaac Aron,Subscriber,Potsdam
mentionee15,"Bamberger, Wolff",Gebete der hochdeutschen und polnischen Juden,"Bamberger, Wolff",Subscriber,Königsberg
mentionee16,"Bartenstein, Joseph",Gebete der hochdeutschen und polnischen Juden,"Bartenstein, Joseph",Subscriber,Königsberg
mentionee17,Jüdel Baruch,Gebete der hochdeutschen und polnischen Juden,Jüdel Baruch,Subscriber,Berlin
mentionee18,Below (Münzdirektor),Gebete der hochdeutschen und polnischen Juden,Below (Münzdirektor),Subscriber,Kurland
mentionee19,"Bendix, Hirsch Nathan",Gebete der hochdeutschen und polnischen Juden,"Bendix, Hirsch Nathan",Subscriber,Berlin
mentionee20,"Bendix, Levin Nathan",Gebete der hochdeutschen und polnischen Juden,"Bendix, Levin Nathan",Subscriber,Berlin
mentionee21,"Bendix, Jeremias",Gebete der hochdeutschen und polnischen Juden,"Bendix, Jeremias",Subscriber,Berlin
mentionee22,Meyer Bernhard,Gebete der hochdeutschen und polnischen Juden,Meyer Bernhard,Subscriber,Königsberg
mentionee23,Wallenrodtsche Bibliothek,Gebete der hochdeutschen und polnischen Juden,Wallenrodtsche Bibliothek,Subscriber,Königsberg
mentionee24,"Binge, Abraham",Gebete der hochdeutschen und polnischen Juden,"Binge, Abraham",Subscriber,Frankfurt am Main
mentionee25,"Boas, Simon",Gebete der hochdeutschen und polnischen Juden,"Boas, Simon",Subscriber,The Hague
mentionee26,"Borchard, Jacob Isaac",Gebete der hochdeutschen und polnischen Juden,"Borchard, Jacob Isaac",Subscriber,Berlin
mentionee27,"Bresslau, Löbel",Gebete der hochdeutschen und polnischen Juden,"Bresslau, Löbel",Subscriber,Berlin
mentionee28,"Brug, Lazarus",Gebete der hochdeutschen und polnischen Juden,"Brug, Lazarus",Subscriber,Breslau
mentionee29,Ezechel Caspar,Gebete der hochdeutschen und polnischen Juden,Ezechel Caspar,Subscriber,Prenzlau
mentionee30,"Caspar, Isaac",Gebete der hochdeutschen und polnischen Juden,"Caspar, Isaac",Subscriber,Königsberg
mentionee31,"Cassel, David",Gebete der hochdeutschen und polnischen Juden,"Cassel, David",Subscriber,Frankfurt am Main
mentionee32,"David, Joseph Nathan",Gebete der hochdeutschen und polnischen Juden,"David, Joseph Nathan",Subscriber,Copenhagen
mentionee33,"David, Meyer Michel (Kammeragent)",Gebete der hochdeutschen und polnischen Juden,"David, Meyer Michel (Kammeragent)",Subscriber,Hannover
mentionee34,"Detmold, Anna",Gebete der hochdeutschen und polnischen Juden,"Detmold, Anna",Subscriber,Hannover
mentionee35,"Elias, Philipp",Gebete der hochdeutschen und polnischen Juden,"Elias, Philipp",Subscriber,Königsberg
mentionee36,Berend Ellerich,Gebete der hochdeutschen und polnischen Juden,Berend Ellerich,Subscriber,Vienna
mentionee37,Abraham Joel Emanuel,Gebete der hochdeutschen und polnischen Juden,Abraham Joel Emanuel,Subscriber,Königsberg
mentionee38,Heimann Enoch,Gebete der hochdeutschen und polnischen Juden,Heimann Enoch,Subscriber,Königsberg
mentionee39,"Ephraim, Samuel Hirsch",Gebete der hochdeutschen und polnischen Juden,"Ephraim, Samuel Hirsch",Subscriber,Berlin
mentionee40,"Ephraim, David",Gebete der hochdeutschen und polnischen Juden,"Ephraim, David",Subscriber,Berlin
mentionee41,"Euchel, Demoiselle",Gebete der hochdeutschen und polnischen Juden,"Euchel, Demoiselle",Subscriber,Königsberg
mentionee42,"Friedländer, Adelaide",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Adelaide",Subscriber,Königsberg
mentionee43,"Friedeburg, Madame Herz",Gebete der hochdeutschen und polnischen Juden,"Friedeburg, Madame Herz",Subscriber,Königsberg
mentionee44,"Friedländer, Abraham",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Abraham",Subscriber,Berlin
mentionee45,"Friedländer, Bernhard",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Bernhard",Subscriber,Königsberg
mentionee46,"Friedländer, Hinde",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Hinde",Subscriber,Königsberg
mentionee47,"Friedländer, Goldea",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Goldea",Subscriber,Königsberg
mentionee48,"Friedländer, Pessel",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Pessel",Subscriber,Königsberg
mentionee49,"Friedländer, Hanna",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Hanna",Subscriber,Königsberg
mentionee50,"Friedländer, Rebekka Meyer",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Rebekka Meyer",Subscriber,Königsberg
mentionee51,"Friedländer, Rebekka Wulff",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Rebekka Wulff",Subscriber,Königsberg
mentionee52,"Friedländer, Recha Wulff",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Recha Wulff",Subscriber,Königsberg
mentionee53,"Friedländer, Angelika",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Angelika",Subscriber,Königsberg
mentionee54,"Friedländer, Meyer",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Meyer",Subscriber,Königsberg
mentionee55,"Friedländer, Simon",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Simon",Subscriber,Königsberg
mentionee56,"Friedländer, Wulff",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Wulff",Subscriber,Königsberg
mentionee57,"Friedländer, Wolf Bernhard",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Wolf Bernhard",Subscriber,Königsberg
mentionee58,"Friedländer, Samuel Wulff",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Samuel Wulff",Subscriber,Königsberg
mentionee59,"Friedländer, Simon Bendix",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Simon Bendix",Subscriber,Königsberg
mentionee60,"Friedländer, Heimann Meyer",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Heimann Meyer",Subscriber,Königsberg
mentionee61,"Friedländer, Hirsch Elias",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Hirsch Elias",Subscriber,Königsberg
mentionee62,"Friedländer, Salomon",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Salomon",Subscriber,Schottland
mentionee63,"Friedländer, Veitel Bernhard",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Veitel Bernhard",Subscriber,Königsberg
mentionee64,Moses Fürst,Gebete der hochdeutschen und polnischen Juden,Moses Fürst,Subscriber,Copenhagen
mentionee65,Meyer Gabriel,Gebete der hochdeutschen und polnischen Juden,Meyer Gabriel,Subscriber,Königsberg
mentionee66,"Gardemain (Bankier), Daniel",Gebete der hochdeutschen und polnischen Juden,"Gardemain (Bankier), Daniel",Subscriber,Berlin
mentionee67,Gesellschaft der hebräischen Litteraturfreunde,Gebete der hochdeutschen und polnischen Juden,Gesellschaft der hebräischen Litteraturfreunde,Subscriber,Königsberg
mentionee68,"Getzel, Jacob",Gebete der hochdeutschen und polnischen Juden,"Getzel, Jacob",Subscriber,Copenhagen
mentionee69,"Getzel, Meyer",Gebete der hochdeutschen und polnischen Juden,"Getzel, Meyer",Subscriber,Copenhagen
mentionee70,"Goldschmidt, Caroline",Gebete der hochdeutschen und polnischen Juden,"Goldschmidt, Caroline",Subscriber,Königsberg
mentionee71,"Goldschmidt, Moses",Gebete der hochdeutschen und polnischen Juden,"Goldschmidt, Moses",Subscriber,Königsberg
mentionee72,"Graff, Jacob",Gebete der hochdeutschen und polnischen Juden,"Graff, Jacob",Subscriber,Königsberg
mentionee73,"Gregorovius (Prof.), J.A.",Gebete der hochdeutschen und polnischen Juden,"Gregorovius (Prof.), J.A.",Subscriber,Königsberg
mentionee74,"Gugenheim, Joseph",Gebete der hochdeutschen und polnischen Juden,"Gugenheim, Joseph",Subscriber,Copenhagen
mentionee75,"Gunzenhausen, Anna",Gebete der hochdeutschen und polnischen Juden,"Gunzenhausen, Anna",Subscriber,Prague
mentionee76,"Gurauer, Jacob Moses",Gebete der hochdeutschen und polnischen Juden,"Gurauer, Jacob Moses",Subscriber,Lissa
mentionee77,Lehmann Haas,Gebete der hochdeutschen und polnischen Juden,Lehmann Haas,Subscriber,Frankfurt am Main
mentionee78,"Halle, Joel Samuel von",Gebete der hochdeutschen und polnischen Juden,"Halle, Joel Samuel von",Subscriber,Berlin
mentionee79,Löb Hamm,Gebete der hochdeutschen und polnischen Juden,Löb Hamm,Subscriber,Hannover
mentionee80,Hartknoch (Buchhändler),Gebete der hochdeutschen und polnischen Juden,Hartknoch (Buchhändler),Subscriber,Riga
mentionee81,"Heilboth, Simon",Gebete der hochdeutschen und polnischen Juden,"Heilboth, Simon",Subscriber,Copenhagen
mentionee82,"Hermes, Johann Georg Christoph Friedrich",Gebete der hochdeutschen und polnischen Juden,"Hermes, Johann Georg Christoph Friedrich",Subscriber,Königsberg
mentionee83,Hirschberg (Dr.),Gebete der hochdeutschen und polnischen Juden,Hirschberg (Dr.),Subscriber,Königsberg
mentionee84,Hirschberg,Gebete der hochdeutschen und polnischen Juden,Hirschberg,Subscriber,Driesen
mentionee85,"Hirsch, Jakob",Gebete der hochdeutschen und polnischen Juden,"Hirsch, Jakob",Subscriber,
mentionee86,Abraham Isaak,Gebete der hochdeutschen und polnischen Juden,Abraham Isaak,Subscriber,Copenhagen
mentionee87,Boas Isaak,Gebete der hochdeutschen und polnischen Juden,Boas Isaak,Subscriber,Königsberg
mentionee88,Marcus Issak,Gebete der hochdeutschen und polnischen Juden,Marcus Issak,Subscriber,Königsberg
mentionee89,Marcus Isaak,Gebete der hochdeutschen und polnischen Juden,Marcus Isaak,Subscriber,Berlin
mentionee90,"Itzig, Elias Daniel",Gebete der hochdeutschen und polnischen Juden,"Itzig, Elias Daniel",Subscriber,Berlin
mentionee91,"Itzig, Jakob Daniel",Gebete der hochdeutschen und polnischen Juden,"Itzig, Jakob Daniel",Subscriber,Berlin
mentionee92,"Jordan, Brüder",Gebete der hochdeutschen und polnischen Juden,"Jordan, Brüder",Subscriber,Königsberg
mentionee93,Meyer Joseph,Gebete der hochdeutschen und polnischen Juden,Meyer Joseph,Subscriber,Königsberg
mentionee94,Simon Joseph,Gebete der hochdeutschen und polnischen Juden,Simon Joseph,Subscriber,Königsberg
mentionee95,"Keyserling, Heinrich Christian (Reichsgraf)",Gebete der hochdeutschen und polnischen Juden,"Keyserling, Heinrich Christian (Reichsgraf)",Subscriber,Königsberg
mentionee96,"Klatzki, Simon",Gebete der hochdeutschen und polnischen Juden,"Klatzki, Simon",Subscriber,Vilnius
mentionee97,"Kleist-Keyserling (Baron), Louis",Gebete der hochdeutschen und polnischen Juden,"Kleist-Keyserling (Baron), Louis",Subscriber,Kurland
mentionee98,"Korff (Graf), von",Gebete der hochdeutschen und polnischen Juden,"Korff (Graf), von",Subscriber,Kurland
mentionee99,Krause,Gebete der hochdeutschen und polnischen Juden,Krause,Subscriber,Jena
mentionee100,Lachmann (Dr.),Gebete der hochdeutschen und polnischen Juden,Lachmann (Dr.),Subscriber,Kurland
mentionee101,Marcus Salomon Levin,Gebete der hochdeutschen und polnischen Juden,Marcus Salomon Levin,Subscriber,Königsberg
mentionee102,David Levin,Gebete der hochdeutschen und polnischen Juden,David Levin,Subscriber,Königsberg
mentionee103,Moses Levin,Gebete der hochdeutschen und polnischen Juden,Moses Levin,Subscriber,Potsdam
mentionee104,Israel Levin,Gebete der hochdeutschen und polnischen Juden,Israel Levin,Subscriber,Potsdam
mentionee105,"Levy, Sara",Gebete der hochdeutschen und polnischen Juden,"Levy, Sara",Subscriber,Berlin
mentionee106,"Levy, Moses Salomon",Gebete der hochdeutschen und polnischen Juden,"Levy, Moses Salomon",Subscriber,Berlin
mentionee107,"Levy, Samuel Salomon",Gebete der hochdeutschen und polnischen Juden,"Levy, Samuel Salomon",Subscriber,Berlin
mentionee108,"Levy, Samuel Isaak",Gebete der hochdeutschen und polnischen Juden,"Levy, Samuel Isaak",Subscriber,Königsberg
mentionee109,"Lipmann, Nathan",Gebete der hochdeutschen und polnischen Juden,"Lipmann, Nathan",Subscriber,Potsdam
mentionee110,"Löwe, Joel",Gebete der hochdeutschen und polnischen Juden,"Löwe, Joel",Subscriber,Berlin
mentionee111,"Lüpschütz, Selig",Gebete der hochdeutschen und polnischen Juden,"Lüpschütz, Selig",Subscriber,Königsberg
mentionee112,Marx (Dr.),Gebete der hochdeutschen und polnischen Juden,Marx (Dr.),Subscriber,Hannover
mentionee113,Salomon Marcus,Gebete der hochdeutschen und polnischen Juden,Salomon Marcus,Subscriber,Potsdam
mentionee114,Hirsch Markus,Gebete der hochdeutschen und polnischen Juden,Hirsch Markus,Subscriber,Berlin
mentionee115,Levin Magnus,Gebete der hochdeutschen und polnischen Juden,Levin Magnus,Subscriber,Copenhagen
mentionee116,Meyer Magnus,Gebete der hochdeutschen und polnischen Juden,Meyer Magnus,Subscriber,Copenhagen
mentionee117,Berend Mendel,Gebete der hochdeutschen und polnischen Juden,Berend Mendel,Subscriber,Königsberg
mentionee118,Elias Meyer (Kammeragent),Gebete der hochdeutschen und polnischen Juden,Elias Meyer (Kammeragent),Subscriber,Hannover
mentionee119,Hirsch Münden,Gebete der hochdeutschen und polnischen Juden,Hirsch Münden,Subscriber,Königsberg
mentionee120,"Öttinger, Moses",Gebete der hochdeutschen und polnischen Juden,"Öttinger, Moses",Subscriber,Hasenpoth
mentionee121,"Oppenheim, Isaac",Gebete der hochdeutschen und polnischen Juden,"Oppenheim, Isaac",Subscriber,Potsdam
mentionee122,"Oppenheim, Madame W. J.",Gebete der hochdeutschen und polnischen Juden,"Oppenheim, Madame W. J.",Subscriber,Hannover
mentionee123,"Oppenheim, Mendel",Gebete der hochdeutschen und polnischen Juden,"Oppenheim, Mendel",Subscriber,Königsberg
mentionee124,Joseph Philipp,Gebete der hochdeutschen und polnischen Juden,Joseph Philipp,Subscriber,Copenhagen
mentionee125,Polonus (Dr.),Gebete der hochdeutschen und polnischen Juden,Polonus (Dr.),Subscriber,Vilnius
mentionee126,"Prekuln, Salomon",Gebete der hochdeutschen und polnischen Juden,"Prekuln, Salomon",Subscriber,Hasenpoth
mentionee127,"Rochnove, Josel",Gebete der hochdeutschen und polnischen Juden,"Rochnove, Josel",Subscriber,Berlin
mentionee128,Gallathea Salomon,Gebete der hochdeutschen und polnischen Juden,Gallathea Salomon,Subscriber,Hannover
mentionee129,Samuel Salomon,Gebete der hochdeutschen und polnischen Juden,Samuel Salomon,Subscriber,Hildesheim
mentionee130,Levin Salomon,Gebete der hochdeutschen und polnischen Juden,Levin Salomon,Subscriber,Hildesheim
mentionee131,Mendel Samuel,Gebete der hochdeutschen und polnischen Juden,Mendel Samuel,Subscriber,Königsberg
mentionee132,"Schottländer, Aron",Gebete der hochdeutschen und polnischen Juden,"Schottländer, Aron",Subscriber,Copenhagen
mentionee133,"Schulz, Johann (Hofprediger)",Gebete der hochdeutschen und polnischen Juden,"Schulz, Johann (Hofprediger)",Subscriber,Königsberg
mentionee134,"Schuster, Getz",Gebete der hochdeutschen und polnischen Juden,"Schuster, Getz",Subscriber,Frankfurt am Main
mentionee135,"Schuster, Levin",Gebete der hochdeutschen und polnischen Juden,"Schuster, Levin",Subscriber,Frankfurt am Main
mentionee136,"Seligmann, Jeannette",Gebete der hochdeutschen und polnischen Juden,"Seligmann, Jeannette",Subscriber,Königsberg
mentionee137,"Seligmann, Wulff",Gebete der hochdeutschen und polnischen Juden,"Seligmann, Wulff",Subscriber,Frankfurt am Main
mentionee138,"Sichel, Lemmlen",Gebete der hochdeutschen und polnischen Juden,"Sichel, Lemmlen",Subscriber,Frankfurt am Main
mentionee139,Simon,Gebete der hochdeutschen und polnischen Juden,Simon,Subscriber,Warsaw
mentionee140,"Spira, Salomon",Gebete der hochdeutschen und polnischen Juden,"Spira, Salomon",Subscriber,Frankfurt am Main
mentionee141,"Simon, Mendel",Gebete der hochdeutschen und polnischen Juden,"Simon, Mendel",Subscriber,Königsberg
mentionee142,"Urjas, Nathan",Gebete der hochdeutschen und polnischen Juden,"Urjas, Nathan",Subscriber,Königsberg
mentionee143,"Veitel, David Ephraim",Gebete der hochdeutschen und polnischen Juden,"Veitel, David Ephraim",Subscriber,Berlin
mentionee144,"Wallach, David",Gebete der hochdeutschen und polnischen Juden,"Wallach, David",Subscriber,Berlin
mentionee145,"Wallach, Demoiselle",Gebete der hochdeutschen und polnischen Juden,"Wallach, Demoiselle",Subscriber,Königsberg
mentionee146,"Wallach, Madame",Gebete der hochdeutschen und polnischen Juden,"Wallach, Madame",Subscriber,Königsberg
mentionee147,"Wappler, Christian Friedrich (Buchhändler)",Gebete der hochdeutschen und polnischen Juden,"Wappler, Christian Friedrich (Buchhändler)",Subscriber,Vienna
mentionee148,"Warburg, Meyer",Gebete der hochdeutschen und polnischen Juden,"Warburg, Meyer",Subscriber,Berlin
mentionee149,"Warburg, Aron Levin",Gebete der hochdeutschen und polnischen Juden,"Warburg, Aron Levin",Subscriber,Copenhagen
mentionee150,"Wertheimer, Samuel",Gebete der hochdeutschen und polnischen Juden,"Wertheimer, Samuel",Subscriber,Hamburg
mentionee151,"Wessely, Joel",Gebete der hochdeutschen und polnischen Juden,"Wessely, Joel",Subscriber,Copenhagen
mentionee152,"Wiener, Isaac",Gebete der hochdeutschen und polnischen Juden,"Wiener, Isaac",Subscriber,Frankfurt am Main
mentionee153,"Winck, Wolff",Gebete der hochdeutschen und polnischen Juden,"Winck, Wolff",Subscriber,Frankfurt am Main
mentionee154,"Wetzlar, Gottschalck",Gebete der hochdeutschen und polnischen Juden,"Wetzlar, Gottschalck",Subscriber,Frankfurt am Main
mentionee155,"Wulff, Heymann",Gebete der hochdeutschen und polnischen Juden,"Wulff, Heymann",Subscriber,Hasenpoth
mentionee156,"Wulff, Joseph",Gebete der hochdeutschen und polnischen Juden,"Wulff, Joseph",Subscriber,Hasenpoth
mentionee157,"Wulff, Abraham",Gebete der hochdeutschen und polnischen Juden,"Wulff, Abraham",Subscriber,Halle
mentionee158,"Zacharias, Moses",Gebete der hochdeutschen und polnischen Juden,"Zacharias, Moses",Subscriber,Königsberg
mentionee159,"Zacharias, Simon",Gebete der hochdeutschen und polnischen Juden,"Zacharias, Simon",Subscriber,Königsberg
mentionee160,"Fränkel, David",Geschichte der Juden von ihrer Rückkehr aus der babylonischen Gefangenschaft bis zur Zerstörung des zweyten Tempels,"Fränkel, David",Dedication,Dessau
mentionee161,David Levi,"Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia",David Levi,Dedication,Triest
mentionee162,Giuseppe Lazzaro Morpurgo,"Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia",Giuseppe Lazzaro Morpurgo,Dedication,Triest
mentionee163,Isaia Norsa,"Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia",Isaia Norsa,Dedication,Triest
mentionee164,Friedrich Salomon Stöltzner,Gründlicher Unterricht in der Jüdischdeutschen Schreibart,Friedrich Salomon Stöltzner,Thanks,Leipzig
mentionee165,"Gunz, Simon",Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse,"Gunz, Simon",Approbation,
mentionee166,"Euchel, Isaac Abraham",Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse,"Euchel, Isaac Abraham",Approbation,Berlin
mentionee167,Abraham Moses,Israelitischer Kinderfreund,Abraham Moses,Subscriber,Stargard
mentionee168,"Berend, S. L. (Landesältester)",Israelitischer Kinderfreund,"Berend, S. L. (Landesältester)",Subscriber,Stettin
mentionee169,Diehl,Israelitischer Kinderfreund,Diehl,Subscriber,Frankfurt am Main
mentionee170,Direktion der Kaufmännischen Ressource,Israelitischer Kinderfreund,Direktion der Kaufmännischen Ressource,Subscriber,Berlin
mentionee171,Dohm (Syndicus),Israelitischer Kinderfreund,Dohm (Syndicus),Subscriber,Breslau
mentionee172,Elbthal,Israelitischer Kinderfreund,Elbthal,Subscriber,Magdeburg
mentionee173,Engel,Israelitischer Kinderfreund,Engel,Subscriber,Strasbourg
mentionee174,Eschwege,Israelitischer Kinderfreund,Eschwege,Subscriber,Potsdam
mentionee175,Fränkel,Israelitischer Kinderfreund,Fränkel,Subscriber,Warsaw
mentionee176,"Fränkel, Moses S.",Israelitischer Kinderfreund,"Fränkel, Moses S.",Subscriber,Hamburg
mentionee177,"Friedländer, H. N. (Buchhändler)",Israelitischer Kinderfreund,"Friedländer, H. N. (Buchhändler)",Subscriber,Königsberg
mentionee178,"Gans, Salomon",Israelitischer Kinderfreund,"Gans, Salomon",Subscriber,Celle
mentionee179,Geisenheimer (Vorsteher des Philantropins),Israelitischer Kinderfreund,Geisenheimer (Vorsteher des Philantropins),Subscriber,Frankfurt am Main
mentionee180,Gesellschaft der Freunde,Israelitischer Kinderfreund,Gesellschaft der Freunde,Subscriber,Berlin
mentionee181,"Gumpel, L.",Israelitischer Kinderfreund,"Gumpel, L.",Subscriber,Hannover
mentionee182,Heimann,Israelitischer Kinderfreund,Heimann,Subscriber,Schwerin
mentionee183,"Herford, Joel",Israelitischer Kinderfreund,"Herford, Joel",Subscriber,Detmold
mentionee184,Herzbruck,Israelitischer Kinderfreund,Herzbruck,Subscriber,Schwedt
mentionee185,"Hirsch, D. Z.",Israelitischer Kinderfreund,"Hirsch, D. Z.",Subscriber,Wriezen
mentionee186,"Hirsch, Joseph",Israelitischer Kinderfreund,"Hirsch, Joseph",Subscriber,Bamberg
mentionee187,Itzig (Landesältester),Israelitischer Kinderfreund,Itzig (Landesältester),Subscriber,Prenzlau
mentionee188,Itzig (Oberkantor),Israelitischer Kinderfreund,Itzig (Oberkantor),Subscriber,Glogau
mentionee189,"Itzig, Jacob",Israelitischer Kinderfreund,"Itzig, Jacob",Subscriber,Frankfurt/Oder
mentionee190,"Jacob, Abraham",Israelitischer Kinderfreund,"Jacob, Abraham",Subscriber,Kolmar
mentionee191,Jacobys Buchhandlung,Israelitischer Kinderfreund,Jacobys Buchhandlung,Subscriber,Berlin
mentionee192,"Joseph, Victor",Israelitischer Kinderfreund,"Joseph, Victor",Subscriber,Posen
mentionee193,Jospeh Baruch Haim,Israelitischer Kinderfreund,Jospeh Baruch Haim,Subscriber,Glogau
mentionee194,Konsistorium der Israeliten,Israelitischer Kinderfreund,Konsistorium der Israeliten,Subscriber,Paris
mentionee195,"Lepoc, Jonas",Israelitischer Kinderfreund,"Lepoc, Jonas",Subscriber,Braunschweig
mentionee196,Levy (Ältester der israelitischen Gemeinde),Israelitischer Kinderfreund,Levy (Ältester der israelitischen Gemeinde),Subscriber,Danzig
mentionee197,"Levysohn, Hartog",Israelitischer Kinderfreund,"Levysohn, Hartog",Subscriber,Rotterdam
mentionee198,"Löser, Wolff",Israelitischer Kinderfreund,"Löser, Wolff",Subscriber,Landsberg/Warthe
mentionee199,"Löwenstein, N. J.",Israelitischer Kinderfreund,"Löwenstein, N. J.",Subscriber,Lissa
mentionee200,Lübeschütz,Israelitischer Kinderfreund,Lübeschütz,Subscriber,Copenhagen
mentionee201,"Marcus, Tobias",Israelitischer Kinderfreund,"Marcus, Tobias",Subscriber,Frankfurt/Oder
mentionee202,"Marks, J.",Israelitischer Kinderfreund,"Marks, J.",Subscriber,Munich
mentionee203,"Mendel, Joachim",Israelitischer Kinderfreund,"Mendel, Joachim",Subscriber,Königsberg
mentionee204,Müller,Israelitischer Kinderfreund,Müller,Subscriber,Karlsruhe
mentionee205,Museum des Herrn Werkmeister,Israelitischer Kinderfreund,Museum des Herrn Werkmeister,Subscriber,
mentionee206,Pfeifer,Israelitischer Kinderfreund,Pfeifer,Subscriber,Weikersheim
mentionee207,Pieck,Israelitischer Kinderfreund,Pieck,Subscriber,Landsberg/Warthe
mentionee208,Rawitz,Israelitischer Kinderfreund,Rawitz,Subscriber,Hamburg
mentionee209,"Redaktion der ""Sulamith""",Israelitischer Kinderfreund,"Redaktion der ""Sulamith""",Subscriber,Dessau
mentionee210,"Reiß, B.",Israelitischer Kinderfreund,"Reiß, B.",Subscriber,Amsterdam
mentionee211,"Salomon, E.",Israelitischer Kinderfreund,"Salomon, E.",Subscriber,Frankfurt/Oder
mentionee212,Samuel Levin Isaac,Israelitischer Kinderfreund,Samuel Levin Isaac,Subscriber,Königsberg
mentionee213,Seeger,Israelitischer Kinderfreund,Seeger,Subscriber,Leipzig
mentionee214,"Silberstein, Philip",Israelitischer Kinderfreund,"Silberstein, Philip",Subscriber,Brieg
mentionee215,Sommershausen (Direktor der Erziehungsanstalt),Israelitischer Kinderfreund,Sommershausen (Direktor der Erziehungsanstalt),Subscriber,Amsterdam
mentionee216,"Susmann, Meier",Israelitischer Kinderfreund,"Susmann, Meier",Subscriber,Halberstadt
mentionee217,Waisenhaus in Berlin und Halle,Israelitischer Kinderfreund,Waisenhaus in Berlin und Halle,Subscriber,
mentionee218,Wittersheim d. Ä.,Israelitischer Kinderfreund,Wittersheim d. Ä.,Subscriber,Hagenau
mentionee219,Zacharias,Israelitischer Kinderfreund,Zacharias,Subscriber,Marienwerder
mentionee220,"Zirndorffer, Isaac",Israelitischer Kinderfreund,"Zirndorffer, Isaac",Subscriber,Fürth
mentionee221,"Heinemann, Jermias",Israelitischer Kinderfreund,"Heinemann, Jermias",Subscriber,
mentionee222,"Jeitteles, Ignaz",Israelitischer Kinderfreund,"Jeitteles, Ignaz",Subscriber,Prague
mentionee223,"Kaskel, Michel",Israelitischer Kinderfreund,"Kaskel, Michel",Subscriber,Dresden
mentionee224,"Neumann, Israel Moses (Inspektor und Oberlehrer)",Israelitischer Kinderfreund,"Neumann, Israel Moses (Inspektor und Oberlehrer)",Subscriber,Breslau
mentionee225,"Fränkel, David",Israelitischer Kinderfreund,"Fränkel, David",Subscriber,Dessau
