Uniqe ID,Title,Producer of book,Name of book producer,Role in book creation,Notes on roles in book's creation,Does the person's name appear in the book,Name as it appears in the book,Evidence for person's identity if it does not appear in the book,Approximate age during writing of book,Religion during writing of book,Location during writing of book,References for person and book
producer149,"Dubno, Salomon - דובנא, שלמה",אהבת ציון,"Dubno, Salomon - דובנא, שלמה",Editor,,,,,,,,
producer150,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",אוצר השרשים א,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer151,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",אוצר השרשים ב,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer152,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",אוצר השרשים ג,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer153,"Bondi, Simon - בונדי, שמעון","אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vorkommenden fremden besonders lateinischen Wörter","Bondi, Simon - בונדי, שמעון",Author,,,,,,,,
producer154,"Bondi, Mardochai - בונדי, מרדכי","אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vorkommenden fremden besonders lateinischen Wörter","Bondi, Mardochai - בונדי, מרדכי",Author,,,,,,,,
producer155,Israelitische Haupt- und Freischule zu Deßaus - משגיחי חנוך נערים בעיר דעסויא,"אור אסתר oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vorkommenden fremden besonders lateinischen Wörter",Israelitische Haupt- und Freischule zu Deßaus - משגיחי חנוך נערים בעיר דעסויא,Editor,,,,,,,,
producer156,אנונימי,אור טוב,אנונימי,,,,,,,,,
producer157,"מודינה, דוד בן-ציון בן אברהם",אור לוסטרו,"מודינה, דוד בן-ציון בן אברהם",,,,,,,,,
producer158,"Mendelssohn, Moses - מנדלסון, משה",אור לנתיבה,"Mendelssohn, Moses - מנדלסון, משה",Author,,,,,,,,
producer160,"פיאצה, משה אהרן רחמים",אורה ושמחה,"פיאצה, משה אהרן רחמים",,,,,,,,,
producer159,אנונימי,אורה ושמחה ליהודים,אנונימי,,,,,,,,,
producer161,"לוין, צבי הירש",איש עניו,"לוין, צבי הירש",Author,,,,,,,,
producer162,אנונימי,אל ראשי עם קדש בני ישראל,אנונימי,Author,,,,,,,,
producer163,"Luzzatto, Ephraim - לוצטו, אפרים",אלה בני הנעורים,"Luzzatto, Ephraim - לוצטו, אפרים",Author,,,,,,,,
producer164,אנונימי,אלה דברי הברית,אנונימי,Author,,,,,,,,
producer165,אנונימי,אלה הם השירים,אנונימי,Author,,,,,,,,
producer166,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ",אלון בכות,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ",Author,,,,,,,,
producer167,"שיאר, אברהם נפתלי הירץ",אמירה נעימה,"שיאר, אברהם נפתלי הירץ",Author,,,,,,,,
producer168,"משה צבי ב""ר מנחם מוויהל",אמירה נעימה,"משה צבי ב""ר מנחם מוויהל",Translator,,,,,,,,
producer169,"Berlin, Saul - ברלין, שאול",אמר הצעיר ...,"Berlin, Saul - ברלין, שאול",Author,,,,,,,,
producer170,"Homberg, Herz - הרץ, הומברג",אמרי שפר,"Homberg, Herz - הרץ, הומברג",Author,,,,,,,,
producer171,אנונימי,אן דיא עלטרן דער ווילהלמס-שילר,אנונימי,Author,,,,,,,,
producer172,"אליהו בן רפאל שלמה, הלוי",אנקת השיר,"אליהו בן רפאל שלמה, הלוי",,,,,,,,,
producer173,אנונימי,אקטא אסתר מיט אחשורוס,אנונימי,Author,,,,,,,,
producer174,"מרדכי בן יצחק, הלוי",אשכר אקריב,"מרדכי בן יצחק, הלוי",Author,,,,,,,,
producer175,"Mendelssohn, Moses - מנדלסון, משה",באור מלות ההגיון,"Mendelssohn, Moses - מנדלסון, משה",Commentator,,,,,,,,
producer176,"הקלירי, שמשון",באור מלות ההגיון,"הקלירי, שמשון",Mevi La'Dfus (Producer),,,,,,,,
producer177,"Löwysohn, Salomon - לוויזון, שלמה",בית האוסף,"Löwysohn, Salomon - לוויזון, שלמה",Author,,,,,,,,
producer178,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",בית הספר א,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer179,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",בית הספר ב,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer180,"גרונדשטין, יעקב לוי",בית יעקב,"גרונדשטין, יעקב לוי",Author,,,,,,,,
producer181,"Riess, Nathan - ריז, נתן",בנות השיר,"Riess, Nathan - ריז, נתן",Author,,,,,,,,
producer182,"Beer, Peter - בער, פרץ",בער פרץ,"Beer, Peter - בער, פרץ",Author,,,,,,,,
producer183,"Baschwitz, Zebi (Hirsch) ben Meir - בשביץ, צבי הירש בן מאיר",בריב שטעללר אדער פתשגן הכתב,"Baschwitz, Zebi (Hirsch) ben Meir - בשביץ, צבי הירש בן מאיר",,,,,,,,,
producer184,פועלי בית הדפוס חנוך נערים,ברכת פועלים,פועלי בית הדפוס חנוך נערים,Author,,,,,,,,
producer185,"Neumann, Moses Samuel - נוימן, משה שמואל",בת יפתח,"Neumann, Moses Samuel - נוימן, משה שמואל",Author,,,,,,,,
producer186,אברהם בן אליהו,גבולות ארץ,אברהם בן אליהו,,,,,,,,,
producer187,"Friedländer, David - פרידלענדר, דוד",גבעטי דער יודן אויף דאס גאנצי יאהר,"Friedländer, David - פרידלענדר, דוד","Translator,Commentator",,,,,,,,
producer188,"Belinfante, Isaac - בלינפנטי, יצחק",גילת ורנן,"Belinfante, Isaac - בלינפנטי, יצחק",Author,,,,,,,,
producer189,"Franco Mendes, David - פרנקו-מנדס, דוד",גמול עתליה,"Franco Mendes, David - פרנקו-מנדס, דוד",Author,,,,,,,,
producer190,"Wessely, Hartwig - וייזל, נפתלי הרץ",גן נעול א,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer191,"Wessely, Hartwig - וייזל, נפתלי הרץ",גן נעול ב,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer192,"Schiff, Isaak Benedix - שיף, בנדיט איצק",דבר בעתו,"Schiff, Isaak Benedix - שיף, בנדיט איצק",Author,,,,,,,,
producer193,"Cohen, Salomon Jacob - כהן, שלום",דבר בעתו,"Cohen, Salomon Jacob - כהן, שלום","Translator,Editor",,,,,,,,
producer194,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",דברי יאזעף השני האחרונים,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",Translator,,,,,,,,
producer195,"Satanow, Isaak - סטנוב, יצחק",דברי ריבות א,"Satanow, Isaak - סטנוב, יצחק",,,,,,,,,
producer196,"Satanow, Isaak - סטנוב, יצחק",דברי ריבות ב,"Satanow, Isaak - סטנוב, יצחק",,,,,,,,,
producer197,"Wessely, Hartwig - וייזל, נפתלי הרץ",דברי שלום ואמת א,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer198,"Wessely, Hartwig - וייזל, נפתלי הרץ",דברי שלום ואמת ב,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer199,"Wessely, Hartwig - וייזל, נפתלי הרץ",דברי שלום ואמת ג,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer200,"Wessely, Hartwig - וייזל, נפתלי הרץ",דברי שלום ואמת ד,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer201,"Mendelssohn, Moses - מנדלסון, משה",דרוש על השלום,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer202,"Leo, Hartog - לאו, הרטוג",דרוש על השלום,"Leo, Hartog - לאו, הרטוג",Mevi La'Dfus (Producer),,,,,,,,
producer203,"מוזסזון, אהרן בן משה מגזע צבי מוזסזון, אהרן בן משה מגזע צבי",דרוש על השלום,"מוזסזון, אהרן בן משה מגזע צבי מוזסזון, אהרן בן משה מגזע צבי",,,,,,,,,
producer204,"Oven, Abraham van - אובן, אברהם",דרך איש ישר,"Oven, Abraham van - אובן, אברהם",Translator,,,,,,,,
producer205,"Löwenstamm, Chaim ben Arije Löb - לוונשטם, חיים בן אריה ליב",דרך חיים,"Löwenstamm, Chaim ben Arije Löb - לוונשטם, חיים בן אריה ליב",,,,,,,,,
producer208,"Heidenheim, Wolf - הידנהים, וולף",דרכי נעם,"Heidenheim, Wolf - הידנהים, וולף","Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer206,"Euchel, Isaac Abraham - אייכל, יצחק",דרכי נעם אדער איבערזעצונג פאן ספר משלי,"Euchel, Isaac Abraham - אייכל, יצחק","Translator,Commentator",,,,,,,,
producer207,"Philippson, Moses - פיליפסון, משה",דרכי נעם אדער איבערזעצונג פאן ספר משלי,"Philippson, Moses - פיליפסון, משה","Editor,Mevi La'Dfus (Producer)",,,,,,,,
producer209,"Beer, Peter - בער, פרץ",דת ישראל oder Das Judenthum 1,"Beer, Peter - בער, פרץ",Author,,,,,,,,
producer210,"Beer, Peter - בער, פרץ",דת ישראל oder Das Judenthum 2,"Beer, Peter - בער, פרץ",Author,,,,,,,,
producer211,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",האמונות והדעות,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Commentator,,,,,,,,
producer212,אנונימי,האנד לעקסיקאן,אנונימי,Author,,,,,,,,
producer213,"Schwabacher, Heimann - שובכר, חיים צבי",הדרכת הילד אדער ערסטער אונטערריכט פיר קינדער פאן דרייא ביס פינף יאהרען,"Schwabacher, Heimann - שובכר, חיים צבי",Author,,,,,,,,
producer214,אנונימי,היסטאריע,אנונימי,,,,,,,,,
producer215,"Schulman, Naftali Hirtz - שולמן, נפתלי הרץ",המצאה חדשה מדבר שין,"Schulman, Naftali Hirtz - שולמן, נפתלי הרץ",Author,,,,,,,,
producer216,"Mendelssohn, Moses - מנדלסון, משה",הנפש,"Mendelssohn, Moses - מנדלסון, משה",Author,,,,,,,,
producer217,"Friedländer, David - פרידלענדר, דוד",הנפש,"Friedländer, David - פרידלענדר, דוד",Mevi La'Dfus (Producer),,,,,,,,
producer218,"Dormitzer, Meir Markus - דורמיצר, מאיר",העתקה,"Dormitzer, Meir Markus - דורמיצר, מאיר",Author,,,,,,,,
producer219,"אברהם בן לא""א כהן מביסטריץ",העתקה,"אברהם בן לא""א כהן מביסטריץ",Editor,,,,,,,,
producer220,"Friedländer, David - פרידלענדר, דוד",הפטרה לשחרית יום הכפורים,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer221,"Mendelssohn, Moses - מנדלסון, משה",הפטרות מכל השנה א,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer222,"Euchel, Gottleb - אייכל, יחיאל גוטליב",הפטרות מכל השנה א,"Euchel, Gottleb - אייכל, יחיאל גוטליב",Translator,,,,,,,,
producer223,"Friedländer, David - פרידלענדר, דוד",הפטרות מכל השנה א,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer224,"Euchel, Isaac Abraham - אייכל, יצחק",הפטרות מכל השנה א,"Euchel, Isaac Abraham - אייכל, יצחק",Translator,,,,,,,,
producer225,"Wolfsohn-Halle, Aron - וולפסון, אהרון",הפטרות מכל השנה א,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Translator,,,,,,,,
producer226,"Lindau, Baruch ben Jehuda Löb - לינדא, ברוך",הפטרות מכל השנה א,"Lindau, Baruch ben Jehuda Löb - לינדא, ברוך",Translator,,,,,,,,
producer227,"ברי""ל, אלחנן",הפטרות מכל השנה א,"ברי""ל, אלחנן",Translator,,,,,,,,
producer228,גדליה מאברזיטצקא,הפטרות מכל השנה א,גדליה מאברזיטצקא,Translator,,,,,,,,
producer229,"טהעאדאר, דוד",הפטרות מכל השנה א,"טהעאדאר, דוד",Translator,,,,,,,,
producer230,"פרידלנדר, בר""ד בונם",הפטרות מכל השנה א,"פרידלנדר, בר""ד בונם",Translator,,,,,,,,
producer231,"Friedländer, David - פרידלענדר, דוד",הפטרות מכל השנה ב,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer232,"Mendelssohn, Moses - מנדלסון, משה",הפטרות מכל השנה ג,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer233,"Friedländer, David - פרידלענדר, דוד",הפטרות מכל השנה ג,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer234,"Euchel, Isaac Abraham - אייכל, יצחק",הפטרות מכל השנה ג,"Euchel, Isaac Abraham - אייכל, יצחק",Translator,,,,,,,,
producer235,"Wolfsohn-Halle, Aron - וולפסון, אהרון",הפטרות מכל השנה ג,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Translator,,,,,,,,
producer236,"Löwe, Joel - ברי""ל, יואל",הפטרות מכל השנה ג,"Löwe, Joel - ברי""ל, יואל",Translator,,,,,,,,
producer237,"פרידלענדר, בונם בר""ד בונם בר""ד פ""ל",הפטרות מכל השנה ג,"פרידלענדר, בונם בר""ד בונם בר""ד פ""ל",Translator,,,,,,,,
producer238,"משה בר""ד פ""ל משה בר""ד פ""ל",הפטרות מכל השנה ג,"משה בר""ד פ""ל משה בר""ד פ""ל",Translator,,,,,,,,
producer239,"טהעאדאר, דוד",הפטרות מכל השנה ג,"טהעאדאר, דוד",Translator,,,,,,,,
producer240,"ראכנאווע, יוזל",הפטרות מכל השנה ג,"ראכנאווע, יוזל",Translator,,,,,,,,
producer241,"אברהם בר""א פל",הפטרות מכל השנה ג,"אברהם בר""א פל",Translator,,,,,,,,
producer242,"יאקב ז""ב",הפטרות מכל השנה ג,"יאקב ז""ב",Translator,,,,,,,,
producer243,"Friedländer, David - פרידלענדר, דוד",הפטרות מכל השנה ד,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer244,"Euchel, Isaac Abraham - אייכל, יצחק",הפטרות מכל השנה ד,"Euchel, Isaac Abraham - אייכל, יצחק",Translator,,,,,,,,
producer245,"Wolfsohn-Halle, Aron - וולפסון, אהרון",הפטרות מכל השנה ד,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Translator,,,,,,,,
producer246,"Lindau, Baruch ben Jehuda Löb - לינדא, ברוך",הפטרות מכל השנה ד,"Lindau, Baruch ben Jehuda Löb - לינדא, ברוך",Translator,,,,,,,,
producer247,"Löwe, Joel - ברי""ל, יואל",הפטרות מכל השנה ד,"Löwe, Joel - ברי""ל, יואל",Translator,,,,,,,,
producer248,"פרידלענדר, בונם בר""ד בונם בר""ד פ""ל",הפטרות מכל השנה ד,"פרידלענדר, בונם בר""ד בונם בר""ד פ""ל",Translator,,,,,,,,
producer249,"משה בר""ד פ""ל משה בר""ד פ""ל",הפטרות מכל השנה ד,"משה בר""ד פ""ל משה בר""ד פ""ל",Translator,,,,,,,,
producer250,גדליה מאברזיטצקא,הפטרות מכל השנה ד,גדליה מאברזיטצקא,Translator,,,,,,,,
producer251,"טהעאדאר, דוד",הפטרות מכל השנה ד,"טהעאדאר, דוד",Translator,,,,,,,,
producer252,"ראכנאווע, יוזל",הפטרות מכל השנה ד,"ראכנאווע, יוזל",Translator,,,,,,,,
producer253,"Heidenheim, Wolf - הידנהים, וולף",הפיוטים והפייטנים,"Heidenheim, Wolf - הידנהים, וולף",Author,,,,,,,,
producer254,"Romanelli, Samuel - רומנלי, שמואל",הקולות יחדלון או משפט שלום,"Romanelli, Samuel - רומנלי, שמואל",Author,,,,,,,,
producer256,"Ottensosser, David - אוטנזוסר, דוד",השלום,"Ottensosser, David - אוטנזוסר, דוד",Author,,,,,,,,
producer257,"Schwabacher, Heimann - שובכר, חיים צבי",השלום,"Schwabacher, Heimann - שובכר, חיים צבי",Author,,,,,,,,
producer255,"Levy, Elie - אליהו חלפן",השלום - תקסב,"Levy, Elie - אליהו חלפן",Author,,,,,,,,
producer258,אנונימי,"התעוררות שמחה וששון ... ליהודים ק""ק אשכנזים ... אשר בעיר אלטונא ... בראותם את יקר תפארת ... קריסטיאנוס השביעי מלך דענימרק ונארוועגן",אנונימי,Author,,,,,,,,
producer259,"Friedrichsfeld, David - פרידריכספלד, דוד",זאת חנוכת הבית,"Friedrichsfeld, David - פרידריכספלד, דוד",Author,,,,,,,,
producer260,"Graanboom, Izak - גראנבום, יצחק",זאת חנוכת הבית,"Graanboom, Izak - גראנבום, יצחק",Author,,,,,,,,
producer261,"מרגליות, יהודה ליב בן אשר זליג",זה ספר בית המדות,"מרגליות, יהודה ליב בן אשר זליג",Author,,,,,,,,
producer262,"Friedrichsfeld, David - פרידריכספלד, דוד",זה ספר זכר צדיק,"Friedrichsfeld, David - פרידריכספלד, דוד",Author,,,,,,,,
producer263,"מרגליות, יהודה ליב בן אשר זליג",זה ספר טוב ויפה,"מרגליות, יהודה ליב בן אשר זליג",Author,,,,,,,,
producer264,"Dessau, Wolf - דסאו, וולף",זה ספר פשר דבר,"Dessau, Wolf - דסאו, וולף",Commentator,,,,,,,,
producer265,"Kohen Piwana, Josephi - פיבני, יוסף בן איזק, כהנא",זכרון יוסף,"Kohen Piwana, Josephi - פיבני, יוסף בן איזק, כהנא",Author,,,,,,,,
producer266,"Friedländer, David - פרידלענדר, דוד",זענד-שרייבן אן דיא דייטשי יודן,"Friedländer, David - פרידלענדר, דוד",Author,,,,,,,,
producer267,"Levi, Avigdor - לוי, אביגדור",חותם תכנית,"Levi, Avigdor - לוי, אביגדור",Author,,,,,,,,
producer268,אנונימי,חי בן מקיץ,אנונימי,,,,,,,,,
producer269,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",חכמת יהושע בן סירא,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Translator,,,,,,,,
producer270,"Salomon, Gotthold - סלומון, גוטהולד",חלקת מחקק,"Salomon, Gotthold - סלומון, גוטהולד","Translator,Commentator",,,,,,,,
producer271,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",חשק שלמה,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",Author,,,,,,,,
producer272,אנונימי,יום מלכים ימלוכו,אנונימי,,,,,,,,,
producer273,"Löwe, Joel - ברי""ל, יואל",יונה,"Löwe, Joel - ברי""ל, יואל","Translator,Commentator",,,,,,,,
producer274,"Derenburg, Zebi Hirsch - דרנבורג, הירש",יושבי תבל,"Derenburg, Zebi Hirsch - דרנבורג, הירש",Author,,,,,,,,
producer275,שמעון פיורדא,יושבי תבל,שמעון פיורדא,Editor,,,,,,,,
producer276,"Breslauer, Mendel - ברסלאו, מנדל",ילדות ובחרות או נתיבות החנוך והמוסר,"Breslauer, Mendel - ברסלאו, מנדל",Author,,,,,,,,
producer277,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",יריעות שלמה א,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",Author,,,,,,,,
producer278,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",יריעות שלמה ג,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה",Author,,,,,,,,
producer279,"Beer, Peter - בער, פרץ","כוס ישועות, oder Kelch des Heils","Beer, Peter - בער, פרץ",Author,,,,,,,,
producer280,"Schönemann, Salomo - שינמן, שלמה",כימיאה אדער שיידיקונסט א,"Schönemann, Salomo - שינמן, שלמה",Author,,,,,,,,
producer281,"פולק, אהרן",כלילת אהבה,"פולק, אהרן",Author,,,,,,,,
producer282,"Buchner, Zeev Wolf - בוכנר, זאב וולף","כתר מלכות לרזב""ד","Buchner, Zeev Wolf - בוכנר, זאב וולף",Author,,,,,,,,
producer283,"(Feder)-Guttmann, Tuvia - פדר, טוביה",להט החרב,"(Feder)-Guttmann, Tuvia - פדר, טוביה",Author,,,,,,,,
producer284,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",לוח הפעלים,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer285,"Levi, Hannover Raphael - לוי, רפאל מהנובר",לוח עלות השחר,"Levi, Hannover Raphael - לוי, רפאל מהנובר",Author,,,,,,,,
producer286,"Löwe, Joel - ברי""ל, יואל",לוחות בניני הפעלים עם משקלי השמות,"Löwe, Joel - ברי""ל, יואל",Author,,,,,,,,
producer287,"Levi, Hannover Raphael - לוי, רפאל מהנובר",לוחות העיבור א,"Levi, Hannover Raphael - לוי, רפאל מהנובר",Author,,,,,,,,
producer288,"Levi, Hannover Raphael - לוי, רפאל מהנובר",לוחות העיבור ב,"Levi, Hannover Raphael - לוי, רפאל מהנובר",Author,,,,,,,,
producer289,"Wolfsohn-Halle, Aron - וולפסון, אהרון",לייכטזין אונד פרעממעלייא,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Author,,,,,,,,
producer290,"Dubno, Salomon - דובנא, שלמה",לישרים תהלה,"Dubno, Salomon - דובנא, שלמה",Mevi La'Dfus (Producer),,,,,,,,
producer291,"Wessely, Hartwig - וייזל, נפתלי הרץ",לכבוד איש מהולל,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer292,"Wessely, Hartwig - וייזל, נפתלי הרץ",לכבוד הגביר,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer293,"Wessely, Hartwig - וייזל, נפתלי הרץ",לכבוד המושל הגדול,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer294,אנונימי,לעבענס בשרייבונג יאזעפס II,אנונימי,Author,,,,,,,,
producer295,"Mendelssohn, Moses - מנדלסון, משה",לשון הזהב,"Mendelssohn, Moses - מנדלסון, משה",Author,,,,,,,,
producer296,"Lemans, Moses - למנס, משה",מאמר אמרה צרופה,"Lemans, Moses - למנס, משה",Author,,,,,,,,
producer297,"Levison, George (Mordechai Gumpel Schnaber) - שנאבר-לויזון, גומפל מרדכי",מאמר התורה והחכמה,"Levison, George (Mordechai Gumpel Schnaber) - שנאבר-לויזון, גומפל מרדכי",Author,,,,,,,,
producer298,"Wessely, Hartwig - וייזל, נפתלי הרץ",מאמר חקור דין,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer299,"יאנוב, שבתי בן דוד יאנוב, שבתי בן דוד",מאמר חקור דין,"יאנוב, שבתי בן דוד יאנוב, שבתי בן דוד",,,,,,,,,
producer300,"Wessely, Hartwig - וייזל, נפתלי הרץ",מאמר מגיד חדשות,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer301,"Breslauer, Mendel - ברסלאו, מנדל",מאמר צדק ועוני או עוז הצדק,"Breslauer, Mendel - ברסלאו, מנדל",Author,,,,,,,,
producer302,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",מבוא אל מקראי קדש,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer303,"Heidenheim, Wolf - הידנהים, וולף",מבוא הלשון,"Heidenheim, Wolf - הידנהים, וולף",Author,,,,,,,,
producer304,פנחס זעליג בן אהרן,מבחר הפנינים,פנחס זעליג בן אהרן,Mevi La'Dfus (Producer),,,,,,,,
producer305,"Wolfsohn-Halle, Aron - וולפסון, אהרון",מגילת אסתר,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Translator,,,,,,,,
producer306,"Wolfsohn-Halle, Aron - וולפסון, אהרון",מגלת איכה,"Wolfsohn-Halle, Aron - וולפסון, אהרון","Translator,Commentator",,,,,,,,
producer307,"Satanow, Isaak - סטנוב, יצחק",מגלת חסידים א,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer308,"Friedländer, David - פרידלענדר, דוד",מגלת קהלת,"Friedländer, David - פרידלענדר, דוד",Translator,,,,,,,,
producer309,"Löwe, Joel - ברי""ל, יואל",מגלת קהלת,"Löwe, Joel - ברי""ל, יואל",Commentator,,,,,,,,
producer310,"Mendelssohn, Moses - מנדלסון, משה",מגלת קהלת,"Mendelssohn, Moses - מנדלסון, משה",Commentator,,,,,,,,
producer311,"Wolfsohn-Halle, Aron - וולפסון, אהרון",מגלת רות,"Wolfsohn-Halle, Aron - וולפסון, אהרון","Translator,Commentator",,,,,,,,
producer312,"Mendelssohn, Moses - מנדלסון, משה",מגלת שיר השירים,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer313,"Wolfsohn-Halle, Aron - וולפסון, אהרון",מגלת שיר השירים,"Wolfsohn-Halle, Aron - וולפסון, אהרון",Commentator,,,,,,,,
producer314,"Löwe, Joel - ברי""ל, יואל",מגלת שיר השירים,"Löwe, Joel - ברי""ל, יואל",Commentator,,,,,,,,
producer315,אברהם אבלי בן ירמיה,מדבר סין,אברהם אבלי בן ירמיה,Editor,,,,,,,,
producer316,אורי פיבוש בן אריה ליב,מדרש מלים לשונות עברית ואשכנזית,אורי פיבוש בן אריה ליב,Author,,,,,,,,
producer317,"Epstein, Pelte Moses - אפשטין, פלטא בן משה",מה נכבד היום הזה,"Epstein, Pelte Moses - אפשטין, פלטא בן משה",Author,,,,,,,,
producer318,"Philippson, Moses - פיליפסון, משה",מודע לבני בינה oder Kinderfreund und Lehrer 1,"Philippson, Moses - פיליפסון, משה",Author,,1,"Philippssohn, Moses",,,,,
producer320,"Bock, Moses Hirsch - בוק, משה (בן) צבי",מודע לילדי בני ישראל,"Bock, Moses Hirsch - בוק, משה (בן) צבי",Author,,,,,,,,
producer321,Anonymous,מודע לילדי בני ישראל,Anonymous,Editor,,,,,,,,
producer322,"Friedländer, David - פרידלענדר, דוד",מודעה,"Friedländer, David - פרידלענדר, דוד",Author,,,,,,,,
producer323,"Itzig, Isaac Daniel - איציג, יצחק דניאל",מודעה,"Itzig, Isaac Daniel - איציג, יצחק דניאל",Author,,,,,,,,
producer324,"Maimon, Salomon - מימון, שלמה",מורה נבוכים א,"Maimon, Salomon - מימון, שלמה",Commentator,,,,,,,,
producer325,"Euchel, Isaac Abraham - אייכל, יצחק",מורה נבוכים א,"Euchel, Isaac Abraham - אייכל, יצחק",Mevi La'Dfus (Producer),,,,,,,,
producer326,"Satanow, Isaak - סטנוב, יצחק",מורה נבוכים ב,"Satanow, Isaak - סטנוב, יצחק","Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer327,"Satanow, Isaak - סטנוב, יצחק",מורה נבוכים ג,"Satanow, Isaak - סטנוב, יצחק","Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer328,אנונימי,מזמור לתודה לאלהינו,אנונימי,Author,,,,,,,,
producer330,"Wessely, Hartwig - וייזל, נפתלי הרץ",מזמור שיר,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer329,"Büschenthal, Lippmann Moses - בישנטל, ליפמן משה",מזמור שיר לבאנאפארט,"Büschenthal, Lippmann Moses - בישנטל, ליפמן משה",Translator,,,,,,,,
producer331,"Satanow, Isaak - סטנוב, יצחק",מחברות עמנואל,"Satanow, Isaak - סטנוב, יצחק",Editor,,,,,,,,
producer332,"Horowitz, Jehuda - הורוויץ, יהודה",מחברת חיי הנפש ונצחיותה,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer333,"Romanelli, Samuel - רומנלי, שמואל",מחזה שדי,"Romanelli, Samuel - רומנלי, שמואל",Author,,,,,,,,
producer334,"Heidenheim, Wolf - הידנהים, וולף",מחזור לחג השבועות - 1805,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
